commentaire,classe
"Breakfast on Pluto (2005), written and directed by Neil Jordan, is the story of Patrick ""Kitten"" Brady (Cillian Murphy), a young man growing up and trying to survive in Ireland in the 1960's and '70's. The fact that Kitten is naive, gay, and a transvestite doesn't make life easy for him.It's hard to know what to make of this movie-- Kitten never harms anyone, but many people harm him, so I didn't accept it as a comedy. Kitten travels from Ireland to London, always hoping for the best, usually receiving the worst, and never losing his faith in humanity. (More or less like Candide, only wearing a dress and high heels.) The Irish troubles are a central part of the plot, but--for me at least--it was hard to tell just who was shooting whom, and why. Finally, the Irish accents of some of the actors were so strong that I wished the film came with subtitles.This is an unusual film, and, on balance, it's probably worth seeing. However, I think that it would be more effective for someone who understands the subtleties and complexities of the Irish political and cultural climate.",positif
"I saw this on 10/2 at the NYFF-we got last minute tickets right up front. Neil Jordan was present at Q&A-an absolute treat. The film was simply wonderful from beginning to end--charming, emotionally satisfying, delicately nuanced and very powerful. The acting was sublime, as in all Jordan films. Cillian Murphy is so impossibly gorgeous and yet so fearless and skillful an actor, who uses his physicality to his supreme advantage. The Irish gang of three-Gleeson, Neeson and Rea, who usually appear in Jordan's films, were superb and touching as usual. There were wonderful casting touches--Bryan Ferry as a sicko, Gaivn Friday as a gay rockabilly, etc. The film was audacious, swerving mightily between broad comedy and grim tragedy. The most arresting elements were the amazing customes and the choice of 60s and 70s songs, something Jordan discussed in detail during the Q&A.I urge all cineastes to catch this one-you will be amazed and deeply satisfied.",positif
"I was very disappointed in ""Breakfast on Pluto."" The film starts out promisingly enough, particularly with the all too quickly abandoned device of the gossiping robins who provide some narrative exposition. Patrick's speculative fantasy about his conception also suggests that the fantastic will continue to play a role in his/her respective adventures, but again, this fades all too quickly. Eventually, his/her constant refrain of ""serious, serious, serious,"" become hard to take in light of the circumstances he/she comes to face.It's hard to develop any real sympathy for Patrick/Patricia Kitten. Even when we learn the source of his/her private pain, it comes so long after he/she has already been established as vain-glorious and thoroughly self-involved that it's truly hard to care.This is on top of the fact that besides being abandoned at birth, he/she seems to have been raised in a household whose sole restriction was that he/she not serve as a public embarrassment. While we might retrospectively recognize that his adopted mother's admonition that he repeat ""I am not a girl"" while roughly brushing him was not the most healthy response to his early trans-gender experimentation, the film offers little other reason for the audience to understand why Patrick was so rude to his adopted mother and sister.The movie's truly ""serious"" moments show some promise, as the acting is quite good (Gavin Friday and Liam Neeson are standouts)and the situations truly serious, but it's hard to care when Patrick/Patricia's concern about these situations is so fleeting. Some moments do stand out, particularly the scene in the abortion clinic and Fr. Benard's confession to Patrick/Patricia in the peepshow, but the rest of the film's most potentially poignant moments are cut short by the lead character's refusal to recognize the gravity of the situations in which he/she finds him/herself.",positif
"Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.Now about the omissions and alterations. I'm not a crazed fanatic who gets worked up over every little detail. I didn't mind Arwen's inflation and I'm actually glad Tom Bombadil was scrubbed (I felt Tom Bombadil was an unnecessary addition to the book). Despite these minor changes, the screenplay stays extremely close to the book and flows very very well (and the prologue was a nice touch).The acting was flawless. As I've read many many times in other reviews, McKellen doesn't play Gandalf, he IS Gandalf. Wood, Mortensen, Holm, Astin, everyone was fantastic. My hat's off to Sean Bean who delivers an excellent performance as Boromir, a character who's intentions are good but wrestles with the corrupting power of the Ring. Bean portrays it VERY well. Oh, and Andy Serkis does a PERFECT Gollum voice. It's EXACTLY as I imagined it myself.The special effects were incredible, the cave troll, the balrog, Gollum, and Sauron's Eye all looked amazing. I was also very impressed by the seamless shrinking of the vertically challenged characters.What's wrong with this movie? I have no idea... I thought everything was perfect. MY biggest gripe is having to wait an entire year to see The Two Towers!",positif
"The first part of the Lord of the Rings trilogy, the Fellowship of the Rings opened the door to a whole new world for me. I'd never read any of Tolkien's books when I saw the film for the first time at the theatre and, now that I've read them, in retrospect I think being a neophyte to the mythology made my LOTR movie experience all the more miraculous.I loved The Two Towers and Return of the King almost as much as FOTR, but not quite, because seeing Fellowship for the first time was like taking a journey to a fabulous new place and meeting incredible new friends that you don't want to leave. I've never felt anything quite like what this epic evoked in me. It was akin to being a child again, with that tireless sense of wonder and enjoyment of each and every moment, maybe because as a child you are discovering your surroundings, and whatever age you are, when you watch the Fellowship of the Ring you are rendered in awe upon being introduced to the purity and beauty of Middle Earth and darkly enthralled by the majesty of Eisengard, Saruman, Sauron and all of their mighty malice. One of the things that makes this movie so special (and there are so many!) is that you fall in love not only with the ""good"" characters, but also with the ""evil"" ones. For example, Christopher Lee was amazing as Saruman, and I can't imagine the movie without him.Some films that might be comparable to the Lord of the Rings trilogy are: The Fifth Element, the Star Wars Trilogy parts IV, V and VI (forget the newer prequels), the Matrix trilogy (especially the first part), Interview with a Vampire, the Legend of Sleepy Hollow (with Johnny Depp), Logan's Run and The Island. They are all excellent movies and works of art that weave that movie magic that keeps you spellbound and entranced for the duration of their runtime.But after seeing The Fellowship of the Ring, I knew I had found the movie by which I would judge all other movies. Based on J.R.R. Tolkien's beloved books, Peter Jackson has set a new standard in the industry of cinema, one that I honestly think has not and won't be surpassed, at least not in my lifetime, not even by PJ himself.It is truly an instant classic that will stand the test of time and be loved by generations to come. God Bless Tolkien and Jackson and everyone involved in the conception and making of this film, for creating a world that is at my fingertips, only takes the touch of a button to go to whenever I want, and makes me forget everything else.The LOTR Trilogy is undoubtedly MY precious, the non plus ultra of all movies!",positif
"(95%) If the late 70's early 80's had the Star wars trilogy, then the 2000's had this epic fantasy masterclass. Regardless of whether you're a fantasy fan or not this is too good a movie to simply pass up, and it will be one of those movies that given time will prove it to be a classic. The deeper you look into this the more one notices that every single aspect really is a truly impressive accomplishment. The fact that every single sword used by the main characters was made by hand, with extra ones made only for carrying, fighting, etc, then there's the costumes/armor/props all made by teams of many people. They even made artificial trees for gods sake. But really all those things are just extras, what really makes this a unique watch is that it really does feel huge and sweeping, the sense of scale is fantastic and I can't think of anything that even comes close to matching it. What every epic flick needs this has, the cast is great, it's exciting, it has bags of character, it's funny, sad, superbly well made, with a great score and plenty of action. It's also one of very few 2 hour 30 minute + movies ever that leaves the audience wanting more. Since watching it around Christmas 2001 at a packed out cinema, and the many times I've seen it on DVD since, it never fails to impress and charm. All in all near perfect cinematic treat that keeps on giving.",positif
"It took me a while to watch this film (2020), but it was the best I've ever seen, it is just fantastic, it needs no praise, I dare say that the Lord of the Rings trilogy is the best cinematographic work ever produced by mankind. Perfect.Film seen on August 8, 2020.",positif
"Here is one film that lived up to its hype, and by the time I saw it after it had arrived at the video stores, I had heard and read a ton of things about it, and seen all the awards it had received, and expected a lot. To my surprise, it did not disappoint.Now, several years later after having watched all three of these ""Rings"" films twice each, I still think this first movie of the trilogy is the best. It is a truly spectacular adventure story all the way through, probably the best ever put to film...and the first three hours of it is extra special. The following two films were very good, to be sure, but this first had a better mixture of the story. The second and third movies were almost entirely Frodo and his allies' long journey, but the first half of this movie also gives a good bit of interesting introductory material including a number of scenes at the Shire, before the long adventure starts. If you watch all three of these films consecutively the action wears you down by midway through the final episode and it almost becomes just too much That never gets a chance to happen with the ""Fellowship"" film.Anyway, ""Fellowship,"" stunned me for the visuals alone. I can't recall any film that has so many jaw-dropping scenes, one after the other, for three straight hours. Some are beyond description, and I don't care if they are computer- generated. So what? The fact is they are awesome to view, both in beauty and in staggering action scenes that feature incredible-looking monsters and other mythical characters.The story covers all kinds of terrain, too, from the lush Shire of the Hobbits, to the harsh neighboring landscapes. Each couple of minutes, as in the two movies that followed, scenes radically change from calmness to action, adventure to romance, sweet lovable characters to hideous monsters, on and on and on. It's an incredible movie experience.",positif
"An incredible feat
Enthrals anew every time
Cannot believe its two decades ago
Love it so much",positif
"...but oh was I thankful for it!!! All through the movie I kept on having this big large smile sculpted into my face. For the record, I'm 25 years old, and I've read ""The Lord of the Rings"" in three times for the first time when I was six or seven years old. Ever since then, I read it at least once or twice a year - therefore you can count me as a fan, for I follow the same cult fan procedure with ""The Hobbit"" and ""The Silmarillion"" as well. Now onto the movie... Gosh, I saw it more than one time, and I keep wanting more of it. It just never gets boring! I really enjoyed the little stuff that is found throughout the movie for fans of the books (the map on Bilbo's table in his house comes to mind, it is exactly as the one in ""The Hobbit"" book that I own), and I also incredibly enjoyed the intro sequence with the re-telling of the battle against Sauron from the Silmarillion, never has an ultimate evil being been so well depicted on the screen. It truly is Sauron. Those who argue the movie cuts too many parts or that it changes the story too much are totally wrong. This movie could not have shown the whole first time in its entirety - keep in mind that the audiobook version of 'Fellowship of the Ring' lasts well over ten hours, making a movie this long would, well, make it way too long and besides, how would you financially sustain such a project? I've read a reviewer saying he'd make all three books with the time allowed for the first movie alone. I think it would be a very fast-forwarding experience of a movie with 'Alvin and the Chimpmunks' kind of voices, incredibly stupid to say the least.Ok, so there are changes in the movie - well, this is Jackson's vision of it. All of us have our own visions of the books, which may or may not be compatible with that of Jackson's, but I can safely assume that nobody can say they have a hundred percent the same vision of the story as Tolkien; that's the thing with books: each reader has a different vision of it. As for me, I was blown away. Never before have I felt so much at home in a movie, it is as if I had taken a walk in the town where I grew up, the Shire, Rivendell, Moria, Lorien, everything felt so much like home, I was moved. I cannot tell of another movie that had me shed tears just by seeing a landscape on screen.As for the changes, well, I found good reasons behind all of them, and let me tell you right away, I was happy that Arwen saved Frodo, yes, maybe coming from a fan it will look like absolute heresy, but I enjoyed the scene a lot. I did not enjoy it because it was supposedly politically-correct to do so, or that I find Liv Tyler to be absolutely attractive; it was just because I felt like even though it was a big change from the book, it was a very good one indeed, it makes you discover the power, determination, and courage of elves and the fact that even elven women, although great in their beauty and seemingly fragile in appearance do not have anything to envy to their male counterparts. And beside, as Arwen is to become a Queen later on, it was pretty good to see her have a great first appearance.The actors were great, they were a lot into their characters, and for the first time, I saw elves as they were, quick, agile, terrifyingly effective in battle - just look at how Legolas dealed with the hordes of enemies without a single hint of fear in his eyes - these are elves as they should be. Gimli was great too, I know people seem to think many characters were not developed enough, but by the actions you can learn a lot. With Gimli a lot can be learned about the dwarves, their pride, deep sense of honor and family, their mistrust of elves, their love for strong beer and a good fight against anything bigger, and their sheer hatred for orcs and the likes. Aragorn was totally the ranger character, the ending scene as he walked toward the horde of Uruk-Hai warriors was great, his attitude, his clothes, everything about him just cried ""ranger"". Boromir was very well depicted, desperate to save the people of Gondor, by any mean necessary, robbed of all hope, yet in the end he redeems himself by showing his true valour, deep down, he's willing to die to defeat evil, and when he recognizes his king in Aragorn, on his last breath, I felt like watching a hero die, it was moving. The hobbits were all great, Frodo is deeply sad and fatalist, and Sam is just the 'best friend' everyone would like to have, just as it should be. Finally, we have Gandalf, quite frankly, he looks mighty, Ian IS Gandalf. The faceoff against the Balrog in the Moria is a memorable sequence, and just shows how strong he really is, to be able to vanquish such a foe. I can't wait for his return.Quite frankly, I can't wait for the two other movies... In the meantime, I'll watch this one over and over again. This movie has everything that a good movie needs to have, and more. Plus, it just might bring more people to actually read books that have more pages than the average little 25¢ novel that has no value in it, which is great. Parents, maybe some scenes will frighten your kids, but this movie has almost NO blood (even though it has a good share of battle) and the foes are undeniably evil, plus it has good values in it - friendship, courage, responsiblity, sacrifice for a good cause, and the belief that anyone can help to change things. This is worthy of Tolkien, this is a movie that will go down in history as being one of the best ever, for sure.",positif
"***SPOILERS***   ***SPOILERS*** Today is my birthday. Honestly, it is. It has been a beautiful week. Actually, it has been more than beautiful. The first snow has slowly covered our trees, the cool winterair has boldly taken over the days and nights in Norway. Beautiful. Well, actually, it has been more than beautiful. But what is `more than beautiful'? Today it was the point where a touch of evil was added to the beautiful. And with the evil and the beautiful comes. well, you know where I am getting at. A thrilling adventure, ancientic tale-greatness, monstrous experiences and totally - with no doubts whatsoever - the one film to rule them all. And in MY MIND, bind me. to this film, this book, forever. From heart of someone who has not read the book, nor have any interest in Tolkien, but loves cinema more than anything in the world. this is one of my, if not THE, all-time cinematic moments.Norway is a small country. And for the small country - only one press screening of FOTR. A small bit about me. I love film, and work as a filmjournalist here in Oslo. Therefore I attended this press-screening. My relation to LOTR is quite simple. Have not read the book, but have been covering the developments of the films. And by that, I have grown a huge interest for the project. Enough now. I HAD AN URGE TO REVIEW THIS MOVIE. Because it is beyond anything I could expect, want, crave, imagine, desire, feel, anticipate. This is unimaginable. And when you see it. I found myself crying of nothing but admiration 2 minutes into the prologue (shiveringly spoken by Blanchett). It shows this dark lord, Sauron, and tells a the fascinating story of The One Ring. Now, excuse me for not being OBSESSIVELY AWARE of everything about this movie (or these books) before seeing or writing this. The prologue is nothing but a amazing sequence. Instead of going into each and every picture (frame) of this film (because I could, and there would be a lot to gaze at and analyse in every single one of them), I will say this: THERE IS SO MUCH. I was completely paralysed. I love every detail I could observe, from the complex battlescenes to the single face of mister Frodo Baggins bedazzling every single audience member. It was a fantastic experience. This review, as I can see, will turn into a not-cronologic piece, but forgive me - my thoughts are a bit hard to recollect. My mind is occupied with images that have burned hard to my iris, performances that I already love and quote. I walked out of the theater 7 hours ago.I have not read the books, as you can see. Now I have seen the first film, and a big bouldering voice tells me that I might have had this very experience many years earlier, by way of the book. But people, and I feel this is important to say, I've just read the book. I think. A 3 hour movie - it felt like reading a book. Because the film felt so massive, it has layers upon layers - in character, in dialogue, in scenery (oh, my lord, the set pieces. I have fallen in love with Lothlorien, the Shire. Can I go to these places for vacation? Will I ever have enough money to go to New Zealand? This is so bloody fantastic in this film. It is so fantastic! I run out of words (especially in my English :-). We must go on!There has been a few hours as I said to dwell on this movie now, buit it's coming to me. It's coming to me as a grandiose wave of river-water lifted by the spellbinding of Arwen (Liv Tyler looks so stylish, such a timeless beauty. Eventhough (some stupid, boneheaded) people are going to scream ARMAGEDDON when they see her the first time, they will be silent when this elf is riding away from the black riders - bravely coming the halfling to rescue.) to eliminate ringwraiths(?). IT IS SO VERY, VERY GOOD. (Oh, I love this film. I have to see it again. I need my mother to see this film, I need to pick up a total stranger on the street, offer her a ticket just to see her face when she's leaving the theatre. I may have given her a lifetime of. well, an experience for a lifetime. Do you hear that Peter Jackson? You may very well, with this masterpiece (I have been dying to call it that), been responsible for thousands of people suffering through this year.) I NEED TO SEE TWO TOWERS NOW!!!! WHAT AM I GOING TO DO!!?? READ THE BOOK? I have to know whats happens. That thing happening to Gandalf. I can't believe it. He must return. Tell me he returns. Ian McKellen is superior. He is great. He acts like if. well, I couldn't see him act. There is Gandalf in him. For sure. Well, anyway, I am off track.FOTR is very big. A big tale. But very small. I mean, big it is, but small is he - Frodo. Oh my gracious lord of modern cinema, the very man who gave Mr. And Mrs. The liberty to create the god given actor named Elijah. Nothing crazy about these sentences, but it is a holy great performance. He is feeling. He is a feeling. My back was cold throughout the entire movie. Feeling Frodo, being Frodo, hurting Frodo, bearing with Frodo. A class-act, truly enchanting, spectacular, it-is-no-good-words-to-compliment-enough Frodo. I am, as you just read, trying to verbalize my experience of Frodo Baggins. But this turns away from reviewing. You want to read about the content of the film. What I saw. Because most of you probably know the whole story, and all the characters. Well, let's go to what there is to see.
I saw the Shrine. It is a very richly realistic built, sunny, green place. I loved it. But no surprises. The home of Bilbo, cornfields. and then the city of Bir? Bie? Forgot the name. All the way, amazing scenery. The fact that there is a big difference in height among the characters, but not among the actors, well that is, how do I put it, flawless. Don't know how they could pull it off, but I am impressed. As I said before, this is so throughoutly worked on and polished - every picture and frame has something more than what you see, and every character blows my mind. What can I say? I'm never this singlemindledly positive about a film, but this may very well be THAT ONE where everything seems to strike my mind and in, again, the cinematic darkness bind me. Every generation has a movie. Every saga has a. hehe, enough filmrelated quotings. Don't have to say much about this, but so that you know it: Howard Shore's score is in my cd-player, and this music is. next to my heart.Bilbo. Just what did I actually know about this Bilbo. Oh, yes he was that hobbit-guy that picked up the Ring from the creature Gollum. I have read the forewords of LOTR. But oh my god. Complexity lies hidden, it seems, in each and every character. Bilbo freaked my out. Scared me more than Gollum (`my precious' shivers still in my bones). What exactly did that ring do to him? One scene has given me the most disturbance (and if someone does not want to know, please do not read further). When Frodo reaches Lothlorien, and re-meets with Bilbo, there is screen magic. As they talk (and he looks so much older already), he gives Frodo the sword. He tells about it's magic, how it glows blue when orcs are near. Ian Holm is absolutely heartbreaking as Bilbo. Then comes a moment. It hit my spine. He wants to give Frodo the armor (what was it called again?), and Frodo begins to remove his shirt. Then Bilbo sees the ring. Oh s**t, he sees the ring. Ian Holm is magic. ""Oh, can I hold it... just for one last time..."" ""No, Bilbo, stay away"". ""IT's MINE! MY RING! MY PRECIOUS!"" It is at that point. Bilbo freaks out. Make-up is brilliant, and the scare of that moment, that scene... still won't leave my body. Not even my damn mind. And the same thing happens with Galadriel. Don't want to spoil anything but the scene with Galadriel and Frodo by the mirror (she pours water in it, and he sees ""what is to come""). THIS IS MAGIC!!!! Aaahhh. Again, and I can't say this enough, I HAVE TO SEE THIS MOVIE AGAIN. Believe me, it is THAT GOOD. The film hadn't played for long, but I began to realise. what's next for Frodo. He is now the ringebearer. Look at Bilbo. Again it strikes me.. I HAVE TO SEE THE NEXT TO FILMS NOW!!! Because there is no end to this film. Actually I couldn't believe it ended when it did. I needed more. It felt like one hour tops, but I had been nailed to my seat for 3 hours already. Amazing experience. The film have no ending, and there's evil there, that does not sleep . Now you get the picture; I love this film! I love LORD OF THE RINGS. This is just remarkable. My imagination. oh, I have no imagination. I did not, could not, imagine this. Imagine there's no people. Imagine if this film had not been made. I may have lived my life without knowing this story. All of you who read the book and hate them for turning this into a movie. Think of all of us who now have been rescued from living our lives without it. Thank you, everyone behind this film, for making it.Koola from NorwayA small PS: The fellowship. It was beautifully casted. Flawless. Gimli - unforgettable John Rhys-Davies. The hobbits - just charming to their hairy feet, and they touched me deep. Aragorn and Boromir - more than anything, believable. They are men, they have no effects or make-up to characterize them. But they are massive. They suffer, and it hurts. Viggo Mortensen is my hero. (And did you all know he is related to Denmark, my neighbourcountry?). Legolas though.. He was my favourite. Feels weird to write the least about the character I loved the most, but it's just. not much to say. Could not stand seeing Legolas leave the screen, he had an remarkable impact on me with his. elvish magic. Oh, and one last thing. This is a chaos. My mind is a chaos. FOTR is so much, much more. I haven't said a thing about Galladriel, and a lot more. But there has to be a limit. If I were you now, I would look forward to every second of this film, so then. it does not matter.
I will bring this experience with me for the rest of my life. It is that good.",positif
"""For the time will soon come when Hobbits will shape the fortunes of all.""
GaladrielGaladriel tells Hobbits may look like unimportant people but they will change the course of the future. Story begins with this line.This line is not really the first line but the line stars the movie for real. This movie is breathtaking. Whatever I say is not enough for this trilogy. Brilliant novel, brilliant adapted screenplay.Not just the novel or screenplay is excellent but the technics also revolutionary. The trilogy nearly opened a new era to Cinema. Some believed even more revolutionary than Star Wars and 2001: A Space Odyssey. Amazing makeup, breathtaking visual effects, stunning cinematography. The trilogy nearly succeed at all technical subjects.",positif
"Director Peter Jackson and wife Fran Walsh have successfully created an epic movie in both look and feel to equal J. R. R. Tolkien's novel (itself awarded the title of ""book of the century""), bringing to the big screen a film nearly flawless in its execution. My biggest disappointment is that two chapters are missing from the novel - Tom Bombadil and the following encounter with the barrow-wrights - but everything else is present and correct.Visually the film is stunning, and Jackson's decision to shoot it entirely in New Zealand is one that pays off. From the incredibly lush green opening scenes of the Shire, to the enchanting elvish woods, to the imposing mountains and plains, it really is a great film to look at and enjoy the backdrop. Even the computer-generated images, like that of Mount Doom, are pretty realistic. Jackson's fluid camera leads to some great sweeping shots through orc-infested mines, huge towers, cameras in places you've never dreamed of. The soundtrack is also perfect, with Howard Shore's suspenseful, exciting, and emotional score a real plus, especially with the cool chanting that fills the Mines of Moria sequence. On top of this, great stuff is done with sound effects - in particular one scene involving a horn suddenly blowing had me jumping in my seat with its realism.I don't really need to examine the story, because it sticks closely to the book with so few minor changes that it's impeccable. The script is intelligent and well-written, the characters charismatic and believable in the situations they encounter. Despite a three hour running time, the film never drags, even in some of the slower sequences - I just didn't want it to be over while I was watching it. The costumes, sets and appearances - down to the hobbits' hairy feet - are all exactly as you would picture them in the book. Jackson's bizarre, arty depiction of life in the ""netherworld"" when Frodo puts on the ring and becomes invisible is as good as it could ever have been - spooky, supernatural and utterly weird. Lighting, pacing, suspense, tension, and the rest - it's all here and done 100% correctly for an overall brilliant effect.Elijah Wood seemed an odd choice to me for the lead role, but I immediately fell in love with his character. Through his acting he creates an emotional, weak in body but strong in spirit hero, a real centre piece for the film to evolve around, and the film makes great use of the actor's slightly odd eyes (especially in the sequence in which he nearly becomes a wraith). Ian McKellen is also excellent as Gandalf and seems to have been perfectly cast in the role, making it his own. Then there's the fellowship itself - Viggo Mortensen excels as the proud and just Strider (later Aragorn), especially in the action stakes where he fights with such fierce determination that he's a presence to behold. Orlando Bloom is fine as the elf warrior Legolas, and moves as fast with his bow as he does in the book. Screen stalwart John Rhys-Davies IS Gimli the dwarf, and couldn't be better. Then there's Sean Astin - lovable as the dopey but loyal Sam Gamgee, and Billy Boyd and Dominic Monaghan in slight comic relief roles as hobbit buddies Pip and Merry. Finally, kudos to Sean Bean, for creating in Boromir a flawed but deeply likable and understandable character, with a sympathetic performance that eclipses all of the actor's previous work - bravo.The action sequences are magnificent and really get the heart going - they put you into the middle of the action with all the blood, sweat and clanging steel, and are edge-of-the-seat stuff. Highlights include Strider fighting the ring-wraiths with his burning brand on Weathertop and the final assault by orcs on the fellowship, which leads to one of the most noble deaths ever in a film. And what of the special effects? In a film dominated by CGI work, I'm happy to say that most are unnoticeable. The digital manipulation to create four-foot hobbits is sometimes dodgy but most of the time you don't notice. The backdrops and effects are great, expensive looking but solid and real at the same time - whoever said they look ""cartoony"" just got it wrong.My favourite scene in the movie is the Mines of Moria sequence - a fantasy fan's dream come true, and the best on screen depiction of a Dungeons & Dragons game so far. The lurker in the lake is a Lovecraftian monster par excellence and the spooky and atmospheric trip through the corpse-strewn deserted mines exceptionally eerie stuff. Then follows a fantastic battle with a cave troll, thankfully on screen for a fair amount of time so we get to admire the fluid and superb effects, and then a truly gob-smacking encounter with the fiery Balrog, just as you imagine it from the book. This half an hour is probably the best film sequence I've ever seen, flawless and perfect in its depiction - amazing. A highlight of what is an impressive and epic film throughout, and a must see for any film fan worth their salt - I can't recommend this film highly enough, and plan to watch it again before the cinema run expires. In my opinion this is better than any STAR WARS movie or HARRY POTTER - and easily one of the best fantasy movies ever made, although it has to be said the competition isn't exactly stiff. Bring on the sequel!",positif
"I think it is important to remember that Peter Jackson took up this film not in order just to make a film of `The Lord of the Rings' but because he wanted to make a 'fantasy just like the `The Lord of the Rings'"" as he himself put it.  After repeating that phrase on a number of occasions the question popped into his mind: ""Well, why not the `The Lord of the Rings' itself?"".  In doing this he, of course, set himself an enormous challenge: he had to make a really good `fantasy' film, one which would stand on its own and be true to what he had originally wanted to do but he would also, and here the task he had set himself was enormous, be true to the original book and to make a film which the legions of people who have loved this book would feel happy with.  In the latter task he was certainly not helped by the author or the book: Tolkein, it would seem, hated cinema.  The book itself is `HUGE': this was not going to be the kind of task that the James Ivory team set themselves, or Scorsese nor the kind of task facing Branagh with Hamlet; nor was it going to be like the puny task that faced Columbus with `Harry Potter' who had the bigger budget ($130 million for one film as compared with Peter Jackson with $300m for three).I have just seen the first `volume' and can say without hesitation that he has succeeded in both his goals.  It is not the book but a reading of the book which is inventive and fascinating.  It is the kind of experience that makes you want to go back and reread the whole thing in the light of the emphases that Jackson has brought to the story.  He focuses on the corrupting influence of the ring and, through this focus, the character of the chief protagonists of the story are revealed.  Clearly those most tempted by it are mortal men (Boromir and even, in one moment, Aragorn), those who already have power (Elrond - `The ring cannot stay here'; Galadriel; Gandalf and Saruman),  and, of course, those who would not normally desire it but who by accident become ring bearers - Gollum, Bilbo, Frodo.  I can see why, in this reading, Jackson decided to leave out the Bombadil episode.  Bombadil, like the Balrog, is beyond the ring but the latter is important to the unfolding of the story of the fates of all the characters, Bombadil isn't.It is a miracle of this reading of the first volume of the book that one can see where Jackson is going and one can get a feel of how the reading is going to unfold.  In a sense, Jackson's real trial - as far as those who know the books are concerned - will come with the second film in the series. He has lived up to our expectation by creating even bigger ones: how can he handle the story of the chase andrescue of Merry and Pippin, the storming of Isengard etc - stories which don't really add much to the core theme that is emerging.  Or is he now going to add the theme of the great contest of good versus evil to the unfolding reading?All of this points to the fact that the film, even though it is a feast of special effects, focuses on character.  And this also explains why Jackson chose the actors he did for their roles: they are not `big' names - no `Sean Connery', no `Alan Rickman', no `Brad Pitt', no `Sam Neill'etc.  He didn't want them getting in the way of the story of character.  Ian McKellan's talents, in particular, are used to tell a large proportion of the story: an enormous amount is conveyed simply through his facial expressions and even by the language of his body. The other miracle in all of this is Elijah Wood.  Like many others, when I first heard of Jackson's choice, I groaned: but Wood has been extraordinary.  He brings, as one friend said, a strange kind of androgyny to the role and this is just perfect. McKellan has already been knighted: give Wood the Oscar.And then there is Middle Earth: this is, as someone put it, another character in the story and the New Zealand landscape, digitally enhanced on occasion, lives up to its role too.Enough.  See this film!  Greatest film ever made?  How can one make a claim like that! Silly really; as silly as claiming that `The Lord of the Rings' is the greatest book ever written.  Can't one simply love a story, enjoy reading it a number of times amd lose oneself in it.  One CAN claim that it is the greatest work in its genre as is the film.10/10",positif
"Alright, I liked the movie, but I have mixed feelings.First of all, you gotta give Jackson credit for his work, but it seems to me, that though he did a good job over all he did not really catch the magic of the books - and I don't mean in the movies, but he himself. The special-effects, the cast and and the production are great - but for every acceptable or good change to the original story you find at least the same amount of really bad choices Jackson made. Let me just give the example of who is responsible for going through Moria in the book and on the other hand in the movie. Why change it to Frodo and give him the burden of Gandalf's death? Why do not let Aragorn take the broken sword out of Rivendell? These are just needless and bad changes to the original story, and there are more examples for that kind of things.But nevertheless the movies made a break for the fantasy-genre and will spawn a lot of movies from the same kind (or so I hope). Jackson deserves credit for that. The Lord of the Rings is something you have to see - but not something you have to like.",positif
